Question_ID,Question_Text,Option_0_Insomnia,Option_1_Sleep_Apnea,Option_2_Hypersomnia
Q1,"How long does it typically take you to fall asleep after getting into bed?","More than 30–60 minutes — my mind keeps racing","I fall asleep quickly but wake up gasping or snoring","I fall asleep almost instantly, often unintentionally"
Q2,"How would you describe your sleep duration on a typical night?","Less than 6 hours — I just can't stay asleep long enough","6–8 hours, but I feel completely unrefreshed in the morning","9 hours or more, yet I still feel exhausted all day"
Q3,"Do you or a bed partner notice any of the following during your sleep?","Frequent tossing and turning, restlessness, or talking in sleep","Loud snoring, choking sounds, or visibly pausing breathing","Very deep, motionless sleep that's impossible to wake from"
Q4,"How do you feel when you first wake up in the morning?","Alert but frustrated — I've been awake for hours already","Extremely groggy, with a dry mouth or headache","Like I could sleep another 4–5 hours no matter what time it is"
Q5,"How often do you experience uncontrollable daytime sleepiness?","Rarely — I'm tired but can usually stay awake during the day","Occasionally — especially after meals or in warm environments","Very often — I fall asleep during meetings, reading, or driving"
Q6,"What is your typical sleep schedule?","I go to bed at a regular time but can't sleep for hours","I try to sleep early but wake up frequently during the night","I naturally stay up past 2–3 AM and wake up in the afternoon"
Q7,"What kinds of thoughts or sensations occur as you try to fall asleep?","Racing thoughts, worry, anxiety, or an inability to 'switch off'","I feel discomfort or tingling in my legs (restless legs)","I feel completely sleepy but also feel disoriented about time"
Q8,"How does your sleep problem affect your energy and mood during the day?","I'm irritable, anxious, and have difficulty concentrating","I feel physically fatigued and have recurring morning headaches","I feel mentally foggy and sluggish, like I'm in a fog all day"
Q9,"Do you rely on any of the following to manage your sleep?","Sleep medication, herbal supplements, or alcohol to fall asleep","Positional aids (anti-snore pillow, CPAP), or sleeping propped up","Multiple alarms, blackout curtains, or napping several times a day"
Q10,"How often do you wake up during the night?","2–4+ times per night, and I struggle to fall back asleep","I often wake up suddenly, gasping or heart racing","Rarely — once I'm asleep, almost nothing can wake me up"
Q11,"Do you feel anxious or worried about sleep itself?","Yes — I dread bedtime because I know I won't be able to sleep","Sometimes — I'm more worried about waking up exhausted","No — I actually look forward to sleep and could sleep anywhere"
Q12,"What is your body weight and physical profile like?","Average or lean build with no significant weight concerns","Overweight or have a large neck — others say I snore loudly","Any build, but I feel physically lethargic most of the day"
Q13,"When are you most mentally alert and productive?","In the morning — though I'm exhausted from poor night sleep","Midday — mornings are rough due to fatigue","Late at night — I feel most awake after midnight"
Q14,"How does your sleep problem affect your social and work life?","I avoid social events because of fatigue and irritability","I've had workplace incidents due to extreme drowsiness","I miss morning commitments regularly due to being unable to wake"
Q15,"How long have you been experiencing significant sleep problems?","Several months to years — it's been ongoing and persistent","On and off, often worse when I gain weight or am congested","Most of my life — I've always been a 'night owl' or heavy sleeper"
Q16,"Which physical symptom have you experienced most often?","Headaches from lack of sleep, eye fatigue, muscle tension","Waking with a sore throat, dry mouth, or morning headaches","Heavy, leaden feeling in limbs, cognitive slowness all day"
Q17,"What typically happens when you try to take a daytime nap?","I can't nap even when tired — my mind stays active","I nap occasionally but still feel unrested afterwards","I nap for 2–3 hours easily and feel I could sleep even more"
Q18,"How does caffeine (coffee, tea, energy drinks) affect you?","I drink it to cope with tiredness but it makes night sleep worse","I need it to function but it doesn't fully solve my fatigue","Even heavy caffeine use barely keeps me awake during the day"
Q19,"Have you been told by a doctor or partner to seek help for sleep?","Yes — they say I look tired all the time and am irritable","Yes — they're worried about my snoring or breathing at night","Yes — they're concerned about how much I sleep or daytime napping"
Q20,"Which statement best describes your overall relationship with sleep?","I desperately want to sleep but my body and mind won't let me","I sleep but wake feeling like I barely rested at all","I could sleep at any time, in any place — sleep is never enough"
